id-lieu,id-civ,nom-commun,id-dict,categorie-id,type-commun,type-commun-id,no-civique,voie,type-voie,lien-voie,nom-voie,code-postal,secteur-amena,district-electoral,id-district-electoral,ex-ville,id-ex-ville,coord-x,coord-y,latitude,longitude
282,91057,Parc-école Jean-Lemonde,7532,Lieu public - Ville de Laval,Parc,12,845,Rue Castelnau,Rue,,Castelnau,,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,280831.1002,5043368.1,45.52981747,-73.80686484
283,41604,Parc-école Laval-Catholic,7841,Lieu public - Ville de Laval,Parc,12,2323,Boulevard Daniel-Johnson,Boulevard,,Daniel-Johnson,H7T 1H8,3,Renaud,7,Chomedey,CH,285258.6,5047164.5,45.56411673,-73.75033341
284,2939,Parc-école Leblanc,2568,Lieu public - Ville de Laval,Parc,12,1750,Montée Masson,Montée,,Masson,H7E 4P2,1,Saint-Vincent-de-Paul,2,Duvernay,DU,293825.5,5056619,45.64937835,-73.64080102
285,117968,Parc-école le Sorbier,7832,Lieu public - Ville de Laval,Parc,12,140,Rue Nadon,Rue,,Nadon,H7L 1T5,5,Sainte-Rose,21,Sainte-Rose,RO,282867.9,5052795.6,45.61471519,-73.78121183
286,951,Parc-école Marie-Curie,2602,Lieu public - Ville de Laval,Parc,12,5175,Chemin du Souvenir,Chemin,du,Souvenir,H7W 1E1,3,Chomedey,14,Chomedey,CH,283152.9,5043976.5,45.53536801,-73.77716696
287,829,Parc-école Notre-Dame-du-Sourire,2557,Lieu public - Ville de Laval,Parc,12,230,Rue des Sapins,Rue,des,Sapins,,1,Saint-Vincent-de-Paul,2,Duvernay,DU,297005.1424,5057506.718,45.65740919,-73.60002103
288,25708,Parc-école Paul-Émile-Dufresne,7857,Lieu public - Ville de Laval,Parc,12,2525,Boulevard de la Renaissance,Boulevard,de la,Renaissance,H7L 3Y2,5,Sainte-Rose,21,Sainte-Rose,RO,282716.7,5051468.6,45.60276985,-73.78309041
289,17970,Parc-école Pierre-Laporte,3048,Lieu public - Ville de Laval,Parc,12,805,Rue Lauzon,Rue,,Lauzon,H7X 2N4,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,281283.4,5042756.7,45.52433134,-73.80104495
290,111541,Parc-école Raymond,2573,Lieu public - Ville de Laval,Parc,12,6460,29e Avenue,Avenue,,29e ,H7R 3M3,4,Laval-les-Îles,17,Laval-Ouest,LO,275859.8,5045028.3,45.54456756,-73.87060743
291,14595,Parc-école Saint-François,2586,Lieu public - Ville de Laval,Parc,12,530,Rue Huberdeau,Rue,,Huberdeau,H7X 1P7,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,281005,5042400.5,45.52111671,-73.8045915
292,13386,Parc-école Twin-Oaks,7534,Lieu public - Ville de Laval,Parc,12,700,Rue Lisane,Rue,,Lisane,H7P 3T2,5,Marc-Aurèle-Fortin,19,Fabreville,FA,280038.3,5048555.59,45.57646789,-73.81727715
293,128886,Parc Edmond-Rostand,7845,Lieu public - Ville de Laval,Parc,12,3076,Rue Edmond-Rostand,Rue,,Edmond-Rostand,H7P 5X8,5,Fabreville,20,Chomedey,CH,284266.6,5048623.7,45.57721839,-73.76310251
294,128888,Parc Éliot,7847,Lieu public - Ville de Laval,Parc,12,4415,Avenue Eliot,Avenue,,Eliot,,3,Saint-Martin,15,Chomedey,CH,284004.3,5044983.1,45.5444516,-73.76630861
295,686,Parc Émile,2507,Lieu public - Ville de Laval,Parc,12,55,Boulevard Cartier Ouest,Boulevard,,Cartier Ouest,H7N 5T3,2,Marigot,5,Laval-des-Rapides,LR,290078.9,5046513.4,45.55837657,-73.68856417
296,143333,Parc Émile-Zola,8146,Lieu public - Ville de Laval,Parc,12,3101,Rue Émile-Zola,Rue,,Émile-Zola,H7P 0A3,5,Fabreville,20,Chomedey,CH,283049.8628,5047991.153,45.57148963,-73.7786647
297,114301,Parc Éveline,2510,Lieu public - Ville de Laval,Parc,12,299,Rue Éveline,Rue,,Éveline,H7P 2V4,5,Marc-Aurèle-Fortin,19,Fabreville,FA,282094.3,5048262.2,45.57389804,-73.7909199
298,114300,Parc Fabien,2511,Lieu public - Ville de Laval,Parc,12,3261,Rue Fabien,Rue,,Fabien,H7P 2B5,5,Marc-Aurèle-Fortin,19,Fabreville,FA,281306.4,5048685.4,45.57767992,-73.80103518
299,126792,Parc Fabre-Joie,2616,Lieu public - Ville de Laval,Parc,12,3938,Boulevard Dagenais Ouest,Boulevard,,Dagenais Ouest,,4,L'Orée-des-bois,18,Fabreville,FA,279518.3,5047203.9,45.56428645,-73.82387001
300,131342,Parc Ferme-Ste-Thérèse,2513,Lieu public - Ville de Laval,Parc,12,1658,Boulevard Mattawa,Boulevard,,Mattawa,,5,Marc-Aurèle-Fortin,19,Fabreville,FA,279631.5,5051172,45.59999616,-73.82262434
301,114319,Parc des Hirondelles,2523,Lieu public - Ville de Laval,Parc,12,108,Rue de Vaucluse,Rue,de,Vaucluse,,2,Concorde-Bois-de-Boulogne,6,Pont-Viau,PV,289658.9,5048561.5,45.57679693,-73.69400739
302,682,Parc Dufresne,2505,Lieu public - Ville de Laval,Parc,12,30,Place Olier,Place,,Olier,H7G 4T7,2,Duvernay-Pont-Viau,4,Pont-Viau,PV,290618.9,5047058.4,45.56329185,-73.68166309
303,146969,Parc Fernando-Pessoa,8292,Lieu public - Ville de Laval,Parc,12,8088,Rue Fernando-Pessoa,Rue,,Fernando-Pessoa,H7Y 2J2,4,Laval-les-Îles,17,Sainte-Dorothée,DO,276568.1576,5044161.861,45.53680025,-73.86148644
304,692,Parc Florent,2514,Lieu public - Ville de Laval,Parc,12,910,Montée Gravel,Montée,,Gravel,,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,279781.2339,5042965.528,45.52615813,-73.82028512
305,114281,Parc Francine,2516,Lieu public - Ville de Laval,Parc,12,1474,Rue Louise,Rue,,Louise,H7S 1E4,2,Renaud,7,Chomedey,CH,286816.1001,5048368.2,45.5749899,-73.73042564
306,128887,Parc Frégault,7846,Lieu public - Ville de Laval,Parc,12,2455,Rue Frégault,Rue,,Frégault,,3,Renaud,7,Chomedey,CH,284031.4,5046847.1,45.56122515,-73.7660407
307,114315,Parc Gagné,2517,Lieu public - Ville de Laval,Parc,12,270,Boulevard des Prairies,Boulevard,des,Prairies,H7N 2T9,2,Marigot,5,Laval-des-Rapides,LR,289197.5999,5045605.3,45.55018603,-73.69982381
308,114323,Parc Gagnon,2518,Lieu public - Ville de Laval,Parc,12,129,Rue Clarence-Gagnon,Rue,,Clarence-Gagnon,,5,Sainte-Rose,21,Sainte-Rose,RO,281849.0999,5051980,45.60734341,-73.79423626
309,695,Parc Gauthier,2519,Lieu public - Ville de Laval,Parc,12,100,Avenue du Pacifique,Avenue,du,Pacifique,H7N 3X8,2,Laval-des-Rapides,11,Laval-des-Rapides,LR,288701.4,5046085.4,45.55449481,-73.70619452
310,128868,Parc Gemma,7830,Lieu public - Ville de Laval,Parc,12,618,Rue Gemma,Rue,,Gemma,,5,Marc-Aurèle-Fortin,19,Fabreville,FA,282013.5,5049473.9,45.58479851,-73.79201166
311,119117,Parc Georges-Bourgeois,7622,Lieu public - Ville de Laval,Parc,12,1400,Rue Hector-Nadon,Rue,,Hector-Nadon,,4,Laval-les-Îles,17,Sainte-Dorothée,DO,276499.4425,5042756.596,45.5241526,-73.86228507
312,112739,Parc Gerry-Dattilio,,Lieu public - Ville de Laval,Parc,12,3200,Boulevard du Souvenir,Boulevard,du,Souvenir,H7V 1W9,3,Souvenir-Labelle,12,Chomedey,CH,285893.7,5045870.2,45.55248782,-73.74214756
313,128001,Parc Gilardeau,,Lieu public - Ville de Laval,Parc,12,816,Avenue Josaphat-Demers,Avenue,,Josaphat-Demers,H7X 3Y1,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,281839.8,5043293.2,45.52917746,-73.7939475
314,114298,Parc Gilbert,2520,Lieu public - Ville de Laval,Parc,12,3100,Rue Germain,Rue,,Germain,H7P 1Y6,5,Marc-Aurèle-Fortin,19,Fabreville,FA,281904.8,5049053.3,45.5810103,-73.79338493
315,116678,Parc Giovanni-Caboto,7565,Lieu public - Ville de Laval,Parc,12,3125,Avenue des Aristocrates,Avenue,des,Aristocrates,,1,Val-des-Arbres,3,Duvernay,DU,291215.1003,5053219.7,45.61874465,-73.67419709
316,86447,Parc Goupil,2521,Lieu public - Ville de Laval,Parc,12,65,Rue Goupil,Rue,,Goupil,H7K 1K8,6,Saint-Bruno,9,Vimont,VI,286143.4299,5053130.388,45.61782333,-73.73922643
317,148249,Parc Hector-Lussier,8417,Lieu public - Ville de Laval,Parc,12,3199,Rue Hector-Lussier,Rue,,Hector-Lussier,H7C 2S4,1,Val-des-Arbres,3,Duvernay,DU,291390.8811,5053669.063,45.62279152,-73.67195545
318,736,Parc Henri-Dunant,2522,Lieu public - Ville de Laval,Parc,12,85,Boulevard Léger,Boulevard,,Léger,,2,Duvernay-Pont-Viau,4,Pont-Viau,PV,291133.3,5047630.9,45.56845366,-73.67508954
319,143007,Parc Henri-Duplessis,8163,Lieu public - Ville de Laval,Parc,12,1900,Rue Henri-Duplessis,Rue,,Henri-Duplessis,,3,Saint-Martin,15,Chomedey,CH,283636.5701,5044989.77,45.54450054,-73.77101798
320,128885,Parc Honoré-De Balzac,7844,Lieu public - Ville de Laval,Parc,12,3146,Rue Honoré-De Balzac,Rue,,Honoré-De Balzac,,5,Fabreville,20,Chomedey,CH,284158.2,5048683.4,45.57775237,-73.76449398
321,41568,Parc Hôtel de ville,,Lieu public - Ville de Laval,Parc,12,3,Place du Souvenir,Place,du,Souvenir,,3,Souvenir-Labelle,12,Chomedey,CH,285774.3,5045734.4,45.5512626,-73.74367151
322,739,Parc Ingrid,2525,Lieu public - Ville de Laval,Parc,12,565,Rue Ingrid,Rue,,Ingrid,H7P 3P9,5,Fabreville,20,Fabreville,FA,280505.8,5048284,45.57404056,-73.81127356
323,740,Parc Isabelle,2526,Lieu public - Ville de Laval,Parc,12,400,Rue Jacques,Rue,,Jacques,H7P 5K5,5,Marc-Aurèle-Fortin,19,Fabreville,FA,280268.4,5047536.2,45.56730339,-73.81427771
324,116677,Parc Islemère,3044,Lieu public - Ville de Laval,Parc,12,1601,Rue de Mingan,Rue,de,Mingan,,4,Laval-les-Îles,17,Sainte-Dorothée,DO,276793.9012,5043642.296,45.53213421,-73.85856631
325,128876,Parc Ivan-Pavlov,7837,Lieu public - Ville de Laval,Parc,12,540,Rue Jean-Piaget,Rue,,Jean-Piaget,,6,Vimont,8,Vimont,VI,288814.8003,5052421.6,45.61151211,-73.70494942
326,750,Parc Jarry,2528,Lieu public - Ville de Laval,Parc,12,705,Rue Mandel,Rue,,Mandel,H7X 1L6,4,Laval-les-Îles,17,Sainte-Dorothée,DO,280053.2568,5042546.201,45.52239463,-73.81678161
327,751,Parc Jean-XXIII,2529,Lieu public - Ville de Laval,Parc,12,1125,Boulevard Vanier,Boulevard,,Vanier,H7C 2N2,1,Saint-Vincent-de-Paul,2,Saint-Vincent-de-Paul,VP,292586,5052329.9,45.61076349,-73.65659603
328,114343,Parc Jérôme,2530,Lieu public - Ville de Laval,Parc,12,3,Rue Jérôme,Rue,,Jérôme,,1,Saint-Vincent-de-Paul,2,Saint-Vincent-de-Paul,VP,292952,5052202.9,45.60962705,-73.65190047
329,148754,Parc J.-M.-Daigneault,8310,Lieu public - Ville de Laval,Parc,12,1160,Boulevard Mattawa,Boulevard,,Mattawa,,5,Marc-Aurèle-Fortin,19,Fabreville,FA,279968.4579,5050210.749,45.5913588,-73.81825619
330,143009,Parc Joachim-Du Bellay,8166,Lieu public - Ville de Laval,Parc,12,3280,Rue Joachim-Du Bellay,Rue,,Joachim-Du Bellay,,5,Fabreville,20,Chomedey,CH,283697.8066,5048417.933,45.57534983,-73.77038171
331,114310,Parc Jodelle,3045,Lieu public - Ville de Laval,Parc,12,7225,Rue Jodelle,Rue,,Jodelle,,4,Laval-les-Îles,17,Laval-Ouest,LO,276435.6909,5045361.588,45.54759024,-73.86325205
332,755,Parc Jolibourg,2531,Lieu public - Ville de Laval,Parc,12,1350,Rue du Relais,Rue,du,Relais,H7Y 1W2,4,Laval-les-Îles,17,Sainte-Dorothée,DO,276903,5042899.1,45.52545115,-73.85712721
333,762,Parc Kennedy,2532,Lieu public - Ville de Laval,Parc,12,1250,Avenue Shorecrest,Avenue,,Shorecrest,H7W 1R7,3,Chomedey,14,Chomedey,CH,284713,5044608.7,45.54110344,-73.75721777
334,772,Parc Labelle,2533,Lieu public - Ville de Laval,Parc,12,1630,Rue Hébert,Rue,,Hébert,H7V 3L8,3,Souvenir-Labelle,12,Chomedey,CH,284698,5045766.9,45.55152481,-73.75745742
335,114339,Parc Lagarde,2534,Lieu public - Ville de Laval,Parc,12,3538,Rue Lagarde,Rue,,Lagarde,,1,Saint-Vincent-de-Paul,2,Saint-Vincent-de-Paul,VP,291852.0004,5050942.101,45.59826247,-73.6659698
336,119113,Parc Laguerrier,7625,Lieu public - Ville de Laval,Parc,12,150,Rue Laguerrier,Rue,,Laguerrier,,5,Sainte-Rose,21,Sainte-Rose,RO,283653.1,5054141.5,45.62685013,-73.77120255
337,90742,Parc Laval-Ouest,5447,Lieu public - Ville de Laval,Parc,12,7189,21e Avenue,Avenue,,21e ,H7R 3G9,4,Laval-les-Îles,17,Laval-Ouest,LO,275823.2737,5044608.861,45.54079186,-73.87105034
338,110380,"Parc Laval-Ouest, site Saint-Antoine",,Lieu public - Ville de Laval,Parc,12,3150,Chemin Saint-Antoine,Chemin,,Saint-Antoine,H7R 1H8,4,Laval-les-Îles,17,Laval-Ouest,LO,276525.8,5044351.5,45.53850494,-73.86203973
339,143945,Parc Le Boutillier,8181,Lieu public - Ville de Laval,Parc,12,1124,Rue Le Boutillier,Rue,,Le Boutillier,H7W 0E1,3,Saint-Martin,15,Chomedey,CH,282995.0326,5044674.944,45.54164787,-73.77921936
340,1298,Parc Légaré,2536,Lieu public - Ville de Laval,Parc,12,2245,Rue Légaré,Rue,,Légaré,,3,Saint-Martin,15,Chomedey,CH,283007.1,5046100.7,45.55447756,-73.77912833
341,688,Parc l'Escale,2509,Lieu public - Ville de Laval,Parc,12,8050,Rue Mylène,Rue,,Mylène,H7A 1G3,1,Saint-François,1,Saint-François,FR,298036.6,5058513.6,45.66648011,-73.58679972
342,1297,Parc Lévis-Paquette,3049,Lieu public - Ville de Laval,Parc,12,135,Rue de Valognes,Rue,de,Valognes,H7M 4A8,2,Renaud,7,Chomedey,CH,287979.7625,5049735.488,45.58732219,-73.71556296
343,774,Parc Louis-Durocher,2537,Lieu public - Ville de Laval,Parc,12,1700,Rue Thomas-D'Orsonnens,Rue,,Thomas-D'Orsonnens,H7M 4X7,6,Vimont,8,Vimont,VI,288671.7,5051933.7,45.60711858,-73.70676799
344,114390,Parc Louis-Jolliet,2618,Lieu public - Ville de Laval,Parc,12,1140,Croissant Louis-Jolliet,Croissant,,Louis-Jolliet,,1,Val-des-Arbres,3,Duvernay,DU,290974.3,5049659.1,45.58670081,-73.67718393
345,143334,Parc Lucien-Cartier,8125,Lieu public - Ville de Laval,Parc,12,4201,Rue Duguay,Rue,,Duguay,,1,Saint-François,1,Saint-François,FR,295192.4544,5060906.735,45.68798029,-73.62334798
346,143356,Parc Lynne,8161,Lieu public - Ville de Laval,Parc,12,1020,Rue Lynne,Rue,,Lynne,,4,Laval-les-Îles,17,Sainte-Dorothée,DO,278502.9512,5042518.833,45.5220916,-73.83662518
384,315,Parc Roi-du-Nord,2577,Lieu public - Ville de Laval,Parc,12,222,Boulevard du Roi-du-Nord,Boulevard,du,Roi-du-Nord,H7L 1W9,5,Sainte-Rose,21,Sainte-Rose,RO,282603.4,5052114.4,45.60857725,-73.78457219
385,66855,Parc Rosaire-Gauthier,2543,Lieu public - Ville de Laval,Parc,12,125,Boulevard Lévesque Est,Boulevard,,Lévesque Est,,2,Duvernay-Pont-Viau,4,Pont-Viau,PV,290988.4,5047101.9,45.5636907,-73.67693096
386,114297,Parc Sacré-Coeur,2579,Lieu public - Ville de Laval,Parc,12,3165,Rue Esther,Rue,,Esther,,5,Marc-Aurèle-Fortin,19,Fabreville,FA,281737.425,5048600.928,45.57693425,-73.79550833
387,316,Parc Saint-Claude,2581,Lieu public - Ville de Laval,Parc,12,99,7e Rue,Rue,,7e ,H7N 2C8,2,Marigot,5,Laval-des-Rapides,LR,289761.4,5046921.5,45.56204198,-73.69264359
388,114279,Parc Sainte-Béatrice,2582,Lieu public - Ville de Laval,Parc,12,5345,Rue de Prince-Rupert,Rue,de,Prince-Rupert,,6,Auteuil,10,Auteuil,AU,286063.3,5054201,45.62745472,-73.74029505
389,317,Parc Saint-Édouard,2583,Lieu public - Ville de Laval,Parc,12,705,18e Avenue,Avenue,,18e ,H7R 5G4,4,L'Orée-des-bois,18,Fabreville,FA,277311.1,5046524.3,45.55808763,-73.85210653
390,114308,Parc Sainte-Marie,2584,Lieu public - Ville de Laval,Parc,12,50,Boulevard Sainte-Marie,Boulevard,,Sainte-Marie,H7J 1C6,6,Auteuil,10,Saint-François,FR,289877.3103,5059826.32,45.67816457,-73.69155379
391,919,Parc Saint-Ernest,2585,Lieu public - Ville de Laval,Parc,12,2430,Rue De Meulles,Rue,,De Meulles,,1,Val-des-Arbres,3,Duvernay,DU,290951.3162,5050173.413,45.59132826,-73.67749307
392,920,Parc Saint-Martin,2587,Lieu public - Ville de Laval,Parc,12,4025,Rue Gaboury,Rue,,Gaboury,,3,Saint-Martin,15,Chomedey,CH,284086.7,5045887.5,45.55259208,-73.7652917
393,922,Parc Saint-Mathieu,2588,Lieu public - Ville de Laval,Parc,12,9415,Boulevard Lévesque Est,Boulevard,,Lévesque Est,,1,Saint-François,1,Saint-François,FR,300507.2167,5059690.651,45.67709109,-73.55510288
394,924,Parc Saint-Maurice,2589,Lieu public - Ville de Laval,Parc,12,800,Rue de Lourdes,Rue,de,Lourdes,H7G 4B2,2,Duvernay-Pont-Viau,4,Duvernay,DU,290913.8,5048815.2,45.57910597,-73.67793528
395,2221,Parc Saint-Maxime,2590,Lieu public - Ville de Laval,Parc,12,3690,Boulevard Lévesque Ouest,Boulevard,,Lévesque Ouest,H7V 1E8,3,L'Abord-à-Plouffe,13,Chomedey,CH,286411.9961,5043826.012,45.5341075,-73.73543261
396,928,Parc Saint-Norbert,2591,Lieu public - Ville de Laval,Parc,12,560,64e Avenue,Avenue,,64e ,H7V 2J3,3,Souvenir-Labelle,12,Chomedey,CH,286836.7713,5044759.17,45.54251542,-73.73002824
397,929,Parc Saint-Philippe,2592,Lieu public - Ville de Laval,Parc,12,52,Rue Sainte-Jeanne,Rue,,Sainte-Jeanne,,1,Saint-Vincent-de-Paul,2,Saint-Vincent-de-Paul,VP,293609.4,5052375.1,45.61118744,-73.64347607
398,931,Parc Saint-Victor,2593,Lieu public - Ville de Laval,Parc,12,650,Rue de Beauport,Rue,de,Beauport,H7E 4B8,1,Duvernay-Pont-Viau,4,Duvernay,DU,291625.5,5049297.2,45.58345697,-73.66882872
399,147007,Parc Salvador-Allende,8293,Lieu public - Ville de Laval,Parc,12,8150,Rue Fernando-Pessoa,Rue,,Fernando-Pessoa,H7Y 2J3,4,Laval-les-Îles,17,Sainte-Dorothée,DO,276656.6874,5044308.52,45.5381235,-73.86036134
400,145941,Parc Stéphanie,8263,Lieu public - Ville de Laval,Parc,12,4300,Rue Stéphanie,Rue,,Stéphanie,H7R 0A6,4,L'Orée-des-bois,18,Fabreville,FA,278427.628,5047109.791,45.56339917,-73.8378367
401,114284,Parc Sun Valley,5451,Lieu public - Ville de Laval,Parc,12,2044,Rue de la Victoire,Rue,de la,Victoire,H7M 3E6,2,Renaud,7,Chomedey,CH,287758.7999,5049218.6,45.58266574,-73.71837669
402,114288,Parc Sylvie,2595,Lieu public - Ville de Laval,Parc,12,645,Rue Sylvie,Rue,,Sylvie,H7X 2X2,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,281149.9016,5043002.942,45.52654257,-73.80276577
403,143328,Parc Toussaint,8135,Lieu public - Ville de Laval,Parc,12,640,Rue Toussaint,Rue,,Toussaint,,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,281827.1688,5042707.83,45.52390972,-73.79408176
404,947,Parc Val-des-Arbres,2599,Lieu public - Ville de Laval,Parc,12,3120,Avenue de La Malbaie,Avenue,de,La Malbaie,,1,Val-des-Arbres,3,Duvernay,DU,290981.8,5051066.2,45.59936238,-73.67712764
405,116675,Parc Wilfrid-Lorrain,2603,Lieu public - Ville de Laval,Parc,12,3325,1re Rue,Rue,,1re ,,3,Souvenir-Labelle,12,Chomedey,CH,287021.1,5044047.6,45.53611722,-73.727642
406,952,Parc Wilfrid-Pelletier,2604,Lieu public - Ville de Laval,Parc,12,1865,Boulevard Tessier,Boulevard,,Tessier,,2,Renaud,7,Chomedey,CH,286866.5,5047865.9,45.57047138,-73.72976145
347,778,Parc Madeleine,2540,Lieu public - Ville de Laval,Parc,12,790,Rue Madeleine,Rue,,Madeleine,H7P 3W7,5,Marc-Aurèle-Fortin,19,Fabreville,FA,279647.3,5048644.2,45.5772512,-73.82229161
348,786,Parc Marc-Aurèle-Fortin,2541,Lieu public - Ville de Laval,Parc,12,720,Rue Fleury,Rue,,Fleury,,5,Marc-Aurèle-Fortin,19,Fabreville,FA,281237.1,5049525.6,45.58523785,-73.80196367
349,114372,Parc Marcel-Gamache,7564,Lieu public - Ville de Laval,Parc,12,644,Rue Principale,Rue,,Principale,,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,279723.4357,5043262.325,45.52882671,-73.82104022
350,128883,Parc Marcel-Proust,7842,Lieu public - Ville de Laval,Parc,12,3080,Rue Marcel-Proust,Rue,,Marcel-Proust,H7P 6A5,5,Fabreville,20,Chomedey,CH,284542.9,5048568.4,45.57672889,-73.75955991
351,114295,Parc Marchand,2542,Lieu public - Ville de Laval,Parc,12,1840,Rue Marchand,Rue,,Marchand,H7G 4V6,2,Concorde-Bois-de-Boulogne,6,Duvernay,DU,289966.5,5050304.3,45.59248571,-73.69011897
352,146727,Parc Marguerite-Duras,8291,Lieu public - Ville de Laval,Parc,12,3020,Rue Marcel-Proust,Rue,,Marcel-Proust,H7P 6A6,5,Fabreville,20,Chomedey,CH,284538.9701,5048720.904,45.57810104,-73.75961659
353,114289,Parc Maskinongé,2544,Lieu public - Ville de Laval,Parc,12,2295,Rue de Maskinongé,Rue,de,Maskinongé,H7E 4A9,1,Val-des-Arbres,3,Duvernay,DU,290799.0999,5050377.8,45.59316434,-73.67944982
354,114394,Parc Masson,5448,Lieu public - Ville de Laval,Parc,12,6655,Rue Duranleau,Rue,,Duranleau,,1,Saint-François,1,Saint-François,FR,295103.7003,5060181.2,45.68145061,-73.62447298
355,114280,Parc Mayfield,3047,Lieu public - Ville de Laval,Parc,12,2013,Rue Mayfield,Rue,,Mayfield,H7T 1K4,3,Renaud,7,Chomedey,CH,284271.8999,5046409.5,45.55729466,-73.76294162
356,114395,Parc Michel-Mathieu,7536,Lieu public - Ville de Laval,Parc,12,326,Rue Sigmund-Freud,Rue,,Sigmund-Freud,,6,Vimont,8,Vimont,VI,288625.8,5052752.1,45.61448164,-73.70738357
357,793,Parc Montcalm,2547,Lieu public - Ville de Laval,Parc,12,755,Rue Parkway,Rue,,Parkway,,3,Chomedey,14,Chomedey,CH,284358,5043985.5,45.53548539,-73.76173755
358,114283,Parc Montgolfier,7560,Lieu public - Ville de Laval,Parc,12,1000,Rue Montgolfier,Rue,,Montgolfier,H7W 4Z2,3,Saint-Martin,15,Chomedey,CH,282701.2004,5043899,45.53465646,-73.78294691
359,128891,Parc Montreuil,7851,Lieu public - Ville de Laval,Parc,12,250,Rue Rosario,Rue,,Rosario,H7X 3K1,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,282566.756,5041980.394,45.51738802,-73.78458121
360,92842,Parc Montreuil,,Lieu public - Ville de Laval,Parc,12,301,Rue Montreuil,Rue,,Montreuil,H7X 3K1,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,282499.6133,5041911.862,45.51676921,-73.78543749
361,114324,Parc Mont-Royal,2551,Lieu public - Ville de Laval,Parc,12,101,Rue du Mont-Royal,Rue,du,Mont-Royal,,5,Sainte-Rose,21,Sainte-Rose,RO,281946.4,5052293.2,45.61016483,-73.79300354
362,114304,Parc Nicole,2554,Lieu public - Ville de Laval,Parc,12,3896,Rue Nicole,Rue,,Nicole,,5,Marc-Aurèle-Fortin,19,Fabreville,FA,279468.5,5048296.3,45.57411425,-73.82456457
363,114309,Parc Nodier,2620,Lieu public - Ville de Laval,Parc,12,3355,24e Rue,Rue,,24e ,,4,Laval-les-Îles,17,Laval-Ouest,LO,275633.6359,5045649.967,45.550152,-73.87354067
364,827,Parc Notre-Dame,2555,Lieu public - Ville de Laval,Parc,12,46,Terrasse Dufferin,Terrasse,,Dufferin,,5,Sainte-Rose,21,Sainte-Rose,RO,282861.9716,5053814.888,45.6238867,-73.7813337
365,114321,Parc Olier-Payette,5646,Lieu public - Ville de Laval,Parc,12,1207,Avenue Olier-Payette,Avenue,,Olier-Payette,,5,Sainte-Rose,21,Sainte-Rose,RO,283261.5,5053455.5,45.62066538,-73.77619433
366,844,Parc Paradis,2560,Lieu public - Ville de Laval,Parc,12,2220,Rue Marc,Rue,,Marc,H7K 1N8,6,Saint-Bruno,9,Vimont,VI,286496.2,5052737.5,45.61429744,-73.73468827
367,143915,Parc Parenteau,8175,Lieu public - Ville de Laval,Parc,12,5831,Rue Parenteau,Rue,,Parenteau,,6,Auteuil,10,Auteuil,AU,285701.482,5054975.213,45.63441134,-73.7449656
368,813,Parc Paul-Marcel-Maheu,2550,Lieu public - Ville de Laval,Parc,12,327,Rue Montmorency,Rue,,Montmorency,,2,Laval-des-Rapides,11,Laval-des-Rapides,LR,288395.6,5046148.2,45.55505277,-73.71011335
369,847,Parc Pépin,2562,Lieu public - Ville de Laval,Parc,12,355,Rue Flore,Rue,,Flore,H7P 5L5,5,Marc-Aurèle-Fortin,19,Fabreville,FA,281528.8226,5048362.452,45.57478145,-73.79816983
370,3007,Parc Père-Vimont,2563,Lieu public - Ville de Laval,Parc,12,2280,Rue Marc,Rue,,Marc,,6,Saint-Bruno,9,Vimont,VI,286665.8,5053088.2,45.61745755,-73.73252675
371,128884,Parc Pierre-Corneille,7843,Lieu public - Ville de Laval,Parc,12,3149,Rue Pierre-Corneille,Rue,,Pierre-Corneille,H7P 5Y4,5,Fabreville,20,Chomedey,CH,284336.0003,5048738.9,45.57825703,-73.76221809
372,849,Parc Pie-X,2565,Lieu public - Ville de Laval,Parc,12,1170,Boulevard Pie-X,Boulevard,,Pie-X,H7V 3B5,3,Souvenir-Labelle,12,Chomedey,CH,285381.2,5045245.4,45.54685159,-73.74868669
373,114317,Parc Pontmain,2569,Lieu public - Ville de Laval,Parc,12,104,Boulevard des Prairies,Boulevard,des,Prairies,H7N 2T5,2,Marigot,5,Laval-des-Rapides,LR,290447.003,5046037.696,45.55410372,-73.68383516
374,905,Parc Prévost,2571,Lieu public - Ville de Laval,Parc,12,1760,Rue de Neuville,Rue,de,Neuville,H7M 4L2,6,Vimont,8,Vimont,VI,287707.5711,5051146.261,45.60001,-73.71910064
375,1296,Parc Prince-Rupert,2572,Lieu public - Ville de Laval,Parc,12,6245,Rue de Prince-Rupert,Rue,de,Prince-Rupert,H7H 1C5,6,Auteuil,10,Auteuil,AU,285365.5,5055511.1,45.639224,-73.74929639
376,910,Parc René-Patenaude,2574,Lieu public - Ville de Laval,Parc,12,80,Rue Ouimet Est,Rue,,Ouimet Est,H7G 2H3,2,Duvernay-Pont-Viau,4,Pont-Viau,PV,289867.6,5048236.9,45.5738806,-73.69132336
